Year	Crude oil loaded	Other tanker trade loaded	Dry cargo loaded	Total goods loaded	Crude oil discharged	Other tanker trade discharged	Dry cargo discharged	Total goods discharged
1970	1207	233	1165	2605	1101	298	1131	2529
1971	1210	320	1162	2692	1199	300	1134	2632
1972	1321	332	1221	2874	1325	316	1217	2858
1973	1514	353	1407	3274	1521	339	1377	3237
1974	1497	335	1472	3304	1470	312	1472	3254
1975	1364	280	1428	3072	1373	287	1395	3055
1976	1555	289	1522	3366	1522	312	1518	3352
1977	1599	293	1576	3468	1585	321	1536	3442
1978	1604	296	1650	3550	1634	321	1570	3525
1979	1725	318	1785	3828	1724	308	1782	3814
1980	1527	344	1833	3704	1530	326	1823	3679
1981	1364	327	1864	3555	1363	310	1838	3512
1982	1163	350	1760	3273	1283	330	1780	3393
1983	1069	392	1770	3231	1133	349	1830	3312
1984	1079	399	1886	3364	1166	371	1928	3465
1985	1049	410	1895	3330	1128	367	1938	3433
1986	1126	424	1835	3385	1220	390	1860	3470
1987	1107	441	1987	3505	1110	408	2120	3628
1988	1160	456	2119	3735	1194	422	2248	3866
1989	1260	468	2212	3940	1300	433	2337	4070
1990	1287	468	2253	4008	1315	466	2365	4126
1991	1333	457	2330	4120	1355	441	2449	4245
1992	1394	466	2360	4220	1414	451	2480	4345
1993	1443	502	2385	4330	1465	480	2477	4422
1994	1498	509	2478	4485	1508	490	2575	4573
1995	1532	518	2601	4651	1550	508	2685	4743
1996	1590	537	2631	4758	1599	480	2734	4815
1997	1626	546	2781	4953	1625	522	2890	5037
1998	1548	534	3549	5631	1515	548	3855	5918
1999	1553	532	3598	5683	1543	510	3955	6007
2000	1605	558	3821	5984	1633	513	4097	6242
2001	1678	499	3844	6020	1712	534	3954	6201
2002	1637	509	3981	6127	1696	540	4099	6335
2003	1690	533	4257	6480	1743	536	4324	6603
2004	1770	546	4442	6758	1773	545	4469	6787
2005	1857	565	4687	7109	1854	573	4696	7122
2006	1783.414984	914.909858	5003.782171	7702.107014	1939.889977	897.1748763	5065.619515	7902.684369
2007	1813.685497	933.6597747	5288.885275	8036.230546	1996.192911	901.619553	5165.48993	8063.302394
2008	1784.848948	957.1575252	5485.522657	8227.52913	1942.789529	932.7749604	5419.381214	8294.945704
2009	1710.138876	931.14121	5176.829321	7818.109407	1874.597022	922.6985863	5044.116086	7841.411695
2010	1784.591995	967.7164298	5648.615384	8400.923809	1939.385142	970.7252414	5454.04621	8364.156594
2011	1750.980735	1028.474411	5959.098155	8738.553301	1897.015427	1039.307067	5766.034535	8702.357029
2012	1785.425328	1054.708422	6357.247007	9197.380757	1930.006834	1055.843207	6129.450784	9115.300826
2013	1737.674084	1090.582454	6624.6694	9452.925938	1881.764727	1090.664366	6510.821928	9483.251022
2014	1711.70131	1121.499636	6983.242532	9816.443478	1850.15619	1087.558878	6782.238647	9719.953716
2015	1760.75051	1178.050181	7074.325229	10013.12592	1909.95772	1175.468608	6879.300167	9964.726496
2016	1832.259254	1238.106787	7176.247927	10246.61397	1985.471924	1234.766023	7082.916918	10303.15487
2017	1874.571816	1279.015126	7560.302835	10713.88978	2033.454364	1287.885308	7365.659579	10686.99925
2018	1881.049999	1319.750002	7818.35	11019.15	2048.8033	1338.550393	7629.393146	11016.74684
2019	1860.2627	1302.649766	7907.620626	11070.53309	2022.756764	1320.4868	7711.833895	11055.07746
2020	1715.959589	1202.301866	7730.017348	10648.2788	1863.617364	1221.977008	7545.46893	10631.0633
